iter	Passed	Remaining
0	165	165483
1	166	83274
2	173	57537
3	174	43460
4	177	35230
5	178	29615
6	180	25567
7	181	22489
8	187	20621
9	189	18771
10	191	17233
11	193	15912
12	194	14767
13	195	13780
14	200	13158
15	202	12432
16	204	11802
17	205	11237
18	207	10722
19	209	10258
20	211	9838
21	216	9631
22	218	9291
23	220	8977
24	223	8723
25	225	8448
26	230	8317
27	233	8104
28	236	7923
29	238	7712
30	240	7504
31	241	7308
32	245	7207
33	248	7055
34	250	6904
35	252	6759
36	254	6624
37	257	6520
38	259	6394
39	261	6281
40	264	6178
41	266	6075
42	268	5972
43	275	5987
44	277	5887
45	279	5790
46	281	5701
47	282	5607
48	287	5588
49	290	5523
50	292	5443
51	294	5376
52	296	5294
53	303	5324
54	306	5265
55	308	5194
56	309	5125
57	311	5054
58	312	4983
59	320	5018
60	321	4953
61	326	4942
62	328	4887
63	333	4873
64	335	4824
65	336	4767
66	338	4717
67	339	4658
68	341	4602
69	342	4546
70	345	4524
71	347	4484
72	349	4435
73	350	4388
74	352	4350
75	354	4304
76	355	4257
77	356	4212
78	357	4169
79	358	4126
80	361	4099
81	363	4066
82	363	4019
83	365	3980
84	367	3950
85	368	3916
86	370	3884
87	371	3848
88	372	3814
89	376	3803
90	377	3771
91	379	3740
92	380	3707
93	381	3674
94	382	3643
95	383	3611
96	384	3581
97	386	3552
98	387	3523
99	390	3511
100	391	3483
101	392	3458
102	394	3432
103	395	3407
104	397	3384
105	398	3358
106	399	3332
107	400	3307
108	401	3282
109	402	3257
110	405	3245
111	407	3227
112	408	3206
113	412	3209
114	414	3190
115	416	3172
116	417	3148
117	420	3139
118	421	3119
119	422	3099
120	427	3104
121	428	3085
122	432	3082
123	434	3067
124	436	3055
125	438	3039
126	440	3029
127	447	3047
128	449	3034
129	451	3024
130	453	3008
131	455	2995
132	456	2977
133	460	2977
134	461	2960
135	463	2943
136	464	2927
137	465	2910
138	467	2893
139	468	2877
140	469	2860
141	470	2842
142	472	2831
143	475	2826
144	477	2812
145	478	2800
146	480	2786
147	481	2771
148	484	2768
149	486	2754
150	493	2776
151	495	2764
152	498	2757
153	499	2745
154	501	2736
155	507	2745
156	508	2731
157	509	2717
158	511	2703
159	512	2690
160	513	2674
161	514	2662
162	516	2650
163	517	2636
164	520	2634
165	522	2624
166	524	2613
167	525	2603
168	527	2594
169	529	2585
170	531	2575
171	536	2583
172	538	2573
173	539	2561
174	541	2552
175	542	2541
176	543	2529
177	545	2517
178	546	2506
179	550	2507
180	552	2500
181	554	2491
182	556	2482
183	557	2471
184	558	2460
185	559	2449
186	561	2439
187	564	2439
188	566	2431
189	567	2420
190	569	2411
191	570	2401
192	571	2391
193	573	2380
194	574	2370
195	575	2359
196	576	2349
197	580	2352
198	582	2343
199	583	2333
200	584	2324
201	588	2324
202	589	2314
203	590	2304
204	591	2295
205	594	2292
206	595	2282
